module	url	status	note
3.3_CRISPR酶_gRNA_碱基_先导编辑器	https://www.businesswire.com/news/home/20260428698315/en	OK	01_技术模块检索\方向三_CGT核酸和递送\3.3_CRISPR酶_gRNA_碱基_先导编辑器\下载资料\3.3_en_2026-06-23.md
3.3_CRISPR酶_gRNA_碱基_先导编辑器	https://www.profluent.bio/media/profluent-announces-publication-of-generative-ai-research-in-nature-with-new-results-for-opencrispr-1	OK	01_技术模块检索\方向三_CGT核酸和递送\3.3_CRISPR酶_gRNA_碱基_先导编辑器\下载资料\3.3_profluent-announces-publication-of-generative-ai-research-in-nature-with-new-res_2026-06-23.md
3.3_CRISPR酶_gRNA_碱基_先导编辑器	https://www.profluent.bio/media/profluent-bio-announces-strategic-collaboration-with-ensoma-to-develop-ai-designed-base-editors-for-in-vivo-hematopoietic-stem-cell-therapies	OK	01_技术模块检索\方向三_CGT核酸和递送\3.3_CRISPR酶_gRNA_碱基_先导编辑器\下载资料\3.3_profluent-bio-announces-strategic-collaboration-with-ensoma-to-develop-ai-design_2026-06-23.md
3.4_AAV和病毒载体衣壳设计	https://capsigen.com/images/BIOGEN_AND_CAPSIGEN_ANNOUNCE-COLLABORATION.docx.pdf	FAIL	原始/清洗URL: bad_or_tiny 2635 404 https://capsigen.com/images/BIOGEN_AND_CAPSIGEN_ANNOUNCE-COLLABORATION.docx.pdf | r.jina.ai镜像: bad_or_tiny 195 200 https://r.jina.ai/https://capsigen.com/images/BIOGEN_AND_CAPSIGEN_ANNOUNCE-COLLABORATION.docx.pdf
4.2_药物再定位	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/207924s006lbl.pdf	OK	01_技术模块检索\方向四_数字生物模型\4.2_药物再定位\下载资料\4.2_207924s006lbl.pdf_2026-06-23.pdf
4.2_药物再定位	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215390s000lbl.pdf	OK	01_技术模块检索\方向四_数字生物模型\4.2_药物再定位\下载资料\4.2_215390s000lbl.pdf_2026-06-23.pdf
4.3_靶点疾病药物关系建模	https://www.biomap.com/	OK	01_技术模块检索\方向四_数字生物模型\4.3_靶点疾病药物关系建模\下载资料\4.3_www.biomap.com_2026-06-23.md
4.3_靶点疾病药物关系建模	https://www.businesswire.com/news/home/20230912041846/en/Exelixis-and-Insilico-Medicine-Enter-into-Exclusive-Global-License-Agreement-for-ISM3091-a-Potentially-Best-in-Class-USP1-Inhibitor	OK	01_技术模块检索\方向四_数字生物模型\4.3_靶点疾病药物关系建模\下载资料\4.3_Exelixis-and-Insilico-Medicine-Enter-into-Exclusive-Global-License-Agreement-for_2026-06-23.md
4.4_虚拟细胞和疾病模型	https://www.biomap.com/news/outperforming-thousands-of-teams-worldwide-biomap-wins-arcs-virtual-cell-challenge-2025	FAIL	原始/清洗URL: bad_or_tiny 1307 200 https://www.biomap.com/news/outperforming-thousands-of-teams-worldwide-biomap-wins-arcs-virtual-cell-challenge-2025 | r.jina.ai镜像: bad_or_tiny 664 200 https://r.jina.ai/https://www.biomap.com/news/outperforming-thousands-of-teams-worldwide-biomap-wins-arcs-virtual-cell-challenge-2025 | r.jina.ai+WebArchive: bad_or_tiny 525 451 https://r.jina.ai/https://web.archive.org/web/2026/https://www.biomap.com/news/outperforming-thousands-of-teams-worldwide-biomap-wins-arcs-virtual-cell-challenge-2025
4.5_药物组合和干预结果模拟	https://clinicaltrials.gov/study/NCT05456256	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_NCT05456256_2026-06-23.md
4.5_药物组合和干预结果模拟	https://data.sec.gov/submissions/CIK0001763950.json	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_CIK0001763950.json_2026-06-23.md
4.5_药物组合和干预结果模拟	https://investors.recursion.com/news-releases/news-release-details/recursion-and-exscientia-complete-business-combination	FAIL	原始/清洗URL: ConnectionError: HTTPSConnectionPool(host='investors.recursion.com', port=443): Max retries exceeded with url: /news-releases/news-release-details/recursion-and-exscientia-complete-business-combination (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000278ED63DE50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')) | r.jina.ai镜像: bad_or_tiny 251 400 https://r.jina.ai/https://investors.recursion.com/news-releases/news-release-details/recursion-and-exscientia-complete-business-combination
4.5_药物组合和干预结果模拟	https://investors.recursion.com/news-releases/news-release-details/recursion-and-exscientia-complete-business-combination	FAIL	原始/清洗URL: ConnectionError: HTTPSConnectionPool(host='investors.recursion.com', port=443): Max retries exceeded with url: /news-releases/news-release-details/recursion-and-exscientia-complete-business-combination (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000278ED648BE0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')) | r.jina.ai镜像: bad_or_tiny 251 400 https://r.jina.ai/https://investors.recursion.com/news-releases/news-release-details/recursion-and-exscientia-complete-business-combination
4.5_药物组合和干预结果模拟	https://turbine.ai/wp-json/wp/v2/pages/2233	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_2233_2026-06-23.md
4.5_药物组合和干预结果模拟	https://turbine.ai/wp-json/wp/v2/pages/2233	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_2233_2026-06-23.md
4.5_药物组合和干预结果模拟	https://www.biomap.com/	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_www.biomap.com_2026-06-23.md
4.5_药物组合和干预结果模拟	https://www.businesswire.com/news/home/20220107005049/en/Sanofi-and-Exscientia-collaborate-to-develop-an-AI-driven-pipeline-of-precision-engineered-medicines	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_Sanofi-and-Exscientia-collaborate-to-develop-an-AI-driven-pipeline-of-precision-_2026-06-23.md
4.5_药物组合和干预结果模拟	https://www.kyantherapeutics.com/	FAIL	原始/清洗URL: bad_or_tiny 114 200 https://www.kyantherapeutics.com/ | r.jina.ai镜像: bad_or_tiny 547 200 https://r.jina.ai/https://www.kyantherapeutics.com/
4.5_药物组合和干预结果模拟	https://www.kyantherapeutics.com/	FAIL	原始/清洗URL: bad_or_tiny 114 200 https://www.kyantherapeutics.com/ | r.jina.ai镜像: bad_or_tiny 547 200 https://r.jina.ai/https://www.kyantherapeutics.com/
4.5_药物组合和干预结果模拟	https://www.kyantherapeutics.com/lander	FAIL	原始/清洗URL: bad_or_tiny 795 200 https://www.kyantherapeutics.com/lander | r.jina.ai镜像: bad_or_tiny 559 200 https://r.jina.ai/https://www.kyantherapeutics.com/lander
4.5_药物组合和干预结果模拟	https://www.sanofi.com/en/media-room/press-releases/2022/2022-01-07-07-00-00-2356182	FAIL	原始/清洗URL: bad_or_tiny 132260 404 https://www.sanofi.com/en/media-room/press-releases/2022/2022-01-07-07-00-00-2356182 | r.jina.ai镜像: bad_or_tiny 16315 200 https://r.jina.ai/https://www.sanofi.com/en/media-room/press-releases/2022/2022-01-07-07-00-00-2356182 | r.jina.ai+WebArchive: bad_or_tiny 525 451 https://r.jina.ai/https://web.archive.org/web/2026/https://www.sanofi.com/en/media-room/press-releases/2022/2022-01-07-07-00-00-2356182
4.6_虚拟患者和数字孪生	https://www.businesswire.com/news/home/20220510005493/en/GNS-Healthcare-Rebrands-as-Aitia-to-Transform-Drug-Discovery-and-Development-with-Causal-AI-and-Digital-Twins	FAIL	原始/清洗URL: bad_or_tiny 591 403 https://www.businesswire.com/news/home/20220510005493/en/GNS-Healthcare-Rebrands-as-Aitia-to-Transform-Drug-Discovery-and-Development-with-Causal-AI-and-Digital-Twins | r.jina.ai镜像: bad_or_tiny 538 200 https://r.jina.ai/https://www.businesswire.com/news/home/20220510005493/en/GNS-Healthcare-Rebrands-as-Aitia-to-Transform-Drug-Discovery-and-Development-with-Causal-AI-and-Digital-Twins | r.jina.ai+WebArchive: bad_or_tiny 525 451 https://r.jina.ai/https://web.archive.org/web/2026/https://www.businesswire.com/news/home/20220510005493/en/GNS-Healthcare-Rebrands-as-Aitia-to-Transform-Drug-Discovery-and-Development-with-Causal-AI-and-Digital-Twins
4.6_虚拟患者和数字孪生	https://www.businesswire.com/news/home/20250401787654/en/Unlearn-and-Trace-Neuroscience-Partner-to-Optimize-ALS-Clinical-Trial	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_Unlearn-and-Trace-Neuroscience-Partner-to-Optimize-ALS-Clinical-Trial_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.businesswire.com/news/home/20250403068288/en/Unlearn-and-remynd-Partner-on-Alzheimers-Study-to-Strengthen-Confidence-in-Early-Clinical-Signals-Using-Digital-Twins	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_Unlearn-and-remynd-Partner-on-Alzheimers-Study-to-Strengthen-Confidence-in-Early_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.businesswire.com/news/home/20250722764714/en/QuantHealth-Successfully-Simulates-350-Clinical-Trials-with-90-Accuracy-Delivering-%2431.4M-in-Savings-for-a-Top-10-Pharma-Company	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_QuantHealth-Successfully-Simulates-350-Clinical-Trials-with-90-Accuracy-Deliveri_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.businesswire.com/news/home/20251001876047/en/QuantHealth-Secures-Strategic-Investment-from-Sanofi-Ventures-to-Accelerate-AI-Driven-Clinical-Trials	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_QuantHealth-Secures-Strategic-Investment-from-Sanofi-Ventures-to-Accelerate-AI-D_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.clinicaltrialsarena.com/news/projenx-unlearn-digital-twins-trial/	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_projenx-unlearn-digital-twins-trial_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.clinicaltrialsarena.com/news/projenx-unlearn-digital-twins-trial/	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_projenx-unlearn-digital-twins-trial_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.fda.gov/drugs/development-resources/model-informed-drug-development-pilot-program	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_model-informed-drug-development-pilot-program_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/artificial-intelligence-support-regulatory-decision-making-drug-and-biological-products	FAIL	原始/清洗URL: bad_or_tiny 10 404 https://www.fda.gov/apology_objects/abuse-detection-apology.html | r.jina.ai镜像: bad_or_tiny 6561 200 https://r.jina.ai/https://www.fda.gov/regulatory-information/search-fda-guidance-documents/artificial-intelligence-support-regulatory-decision-making-drug-and-biological-products | r.jina.ai+WebArchive: bad_or_tiny 525 451 https://r.jina.ai/https://web.archive.org/web/2026/https://www.fda.gov/regulatory-information/search-fda-guidance-documents/artificial-intelligence-support-regulatory-decision-making-drug-and-biological-products
1.4_分子从头生成和多参数优化	https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/43/5e/41591_2025_Article_3743.PMC12353801.pdf	OK	01_技术模块检索\方向一_AI小分子药物\1.4_分子从头生成和多参数优化\下载资料\1.4_Nature_Medicine_2025_41591_2025_3743_2026-06-23.md
1.4_分子从头生成和多参数优化	https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/9d/26/41597_2024_Article_3793.PMC11387650.pdf	OK	01_技术模块检索\方向一_AI小分子药物\1.4_分子从头生成和多参数优化\下载资料\1.4_Scientific_Data_2024_41597_2024_3793_2026-06-23.md
2.2_抗体亲和力_特异性_可开发性优化	https://pmc.ncbi.nlm.nih.gov/articles/PMC12688275/pdf/KMAB_17_2598093.pdf	OK	01_技术模块检索\方向二_AI大分子生物药\2.2_抗体亲和力_特异性_可开发性优化\下载资料\2.2_mAbs_KMAB_17_2598093_2026-06-23.md
2.2_抗体亲和力_特异性_可开发性优化	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/bispecific-antibody-development-programs-guidance-industry	OK	01_技术模块检索\方向二_AI大分子生物药\2.2_抗体亲和力_特异性_可开发性优化\下载资料\2.2_FDA_Bispecific_Antibody_Development_Programs_Guidance_2026-06-23.md
3.1_siRNA_ASO_mRNA序列与修饰优化	https://www.science.org/doi/pdf/10.1126/science.adr8470	OK	01_技术模块检索\方向三_CGT核酸和递送\3.1_siRNA_ASO_mRNA序列与修饰优化\下载资料\3.1_Science_adr8470_2026-06-23.md
4.1_多组学和疾病机制整合	https://www.biomap.com/	OK	01_技术模块检索\方向四_数字生物模型\4.1_多组学和疾病机制整合\下载资料\4.1_BioMap_Official_Website_2026-06-23.md
